row_type,trade_date,signal_date,prev_trade_date,period_return,turnover,cost_rate,cost,nav_before,nav_after,pnl_amount,initial_cash,note,sub_strategy,rq_code,ts_code,score,rank_in_topk,sub_alloc,sub_target_weight,target_weight_total,action,prev_weight,weight_change,close_prev,close_cur,stock_return,stock_contrib,vol20,vol60,vol120
SUMMARY,2025-12-22,2025-12-19,,0.0,0.0,0.0004,0.0,1.0,1.0,0.0,150000.0,close_to_close on bundle; cost=turnover*cost_rate; bundle_last=2026-12-31,,,,,,,,,,,,,,,,,,
POSITION,2025-12-22,2025-12-19,,,,,,,,,,,value_csi300,601668.XSHG,601668.SH,0.825503355704698,53.0,0.5,0.07058855967113786,0.07058855967113786,BUY,0.0,0.07058855967113786,,,,,0.10752444671889565,0.15589930482771613,0.16162041956316475
POSITION,2025-12-22,2025-12-19,,,,,,,,,,,value_csi300,600018.XSHG,600018.SH,0.7986577181208053,61.0,0.5,0.0669515392478444,0.0669515392478444,BUY,0.0,0.0669515392478444,,,,,0.11608167536996165,0.11364447244727155,0.13052639383833156
POSITION,2025-12-22,2025-12-19,,,,,,,,,,,small_cap_csi101,002599.XSHE,002599.SZ,0.9853709508881924,15.0,0.5,0.060566889806934955,0.060566889806934955,BUY,0.0,0.060566889806934955,,,,,0.267842683376329,0.26884952673146895,0.31706589342195324
POSITION,2025-12-22,2025-12-19,,,,,,,,,,,small_cap_csi101,002553.XSHE,002553.SZ,0.9958202716823408,5.0,0.5,0.057659707574846945,0.057659707574846945,BUY,0.0,0.057659707574846945,,,,,0.2838681999905327,0.40701081469326844,0.4633781765666949
POSITION,2025-12-22,2025-12-19,,,,,,,,,,,value_csi300,601838.XSHG,601838.SH,1.0,1.0,0.5,0.057627174329117896,0.057627174329117896,BUY,0.0,0.057627174329117896,,,,,0.14295452078519338,0.20879172376712948,0.20563239941455605
POSITION,2025-12-22,2025-12-19,,,,,,,,,,,small_cap_csi101,002161.XSHE,002161.SZ,0.9937304075235108,7.0,0.5,0.05693785420508564,0.05693785420508564,BUY,0.0,0.05693785420508564,,,,,0.28810095320162543,0.32005369498434266,0.44831036515773465
POSITION,2025-12-22,2025-12-19,,,,,,,,,,,small_cap_csi101,002546.XSHE,002546.SZ,0.9885057471264368,12.0,0.5,0.0546529537394575,0.0546529537394575,BUY,0.0,0.0546529537394575,,,,,0.30223609087565706,0.40191436279321946,0.39557244167079886
POSITION,2025-12-22,2025-12-19,,,,,,,,,,,small_cap_csi101,002670.XSHE,002670.SZ,0.9895506792058516,11.0,0.5,0.05315323177298396,0.05315323177298396,BUY,0.0,0.05315323177298396,,,,,0.31217445558558027,0.5544732413378649,0.5779199975741758
POSITION,2025-12-22,2025-12-19,,,,,,,,,,,small_cap_csi101,002052.XSHE,002052.SZ,0.9968652037617556,4.0,0.5,0.052332869295528904,0.052332869295528904,BUY,0.0,0.052332869295528904,,,,,0.3178518498820269,0.5901679727858979,0.7321973661985839
POSITION,2025-12-22,2025-12-19,,,,,,,,,,,value_csi300,601916.XSHG,601916.SH,0.9563758389261744,14.0,0.5,0.05226255812254753,0.05226255812254753,BUY,0.0,0.05226255812254753,,,,,0.16276080250045227,0.15143573320387882,0.2182455527710211
POSITION,2025-12-22,2025-12-19,,,,,,,,,,,small_cap_csi101,002628.XSHE,002628.SZ,0.9864158829676072,14.0,0.5,0.05137614360418186,0.05137614360418186,BUY,0.0,0.05137614360418186,,,,,0.324701980909826,0.3580989022806293,0.41724242117130256
POSITION,2025-12-22,2025-12-19,,,,,,,,,,,value_csi300,600061.XSHG,600061.SH,0.8389261744966443,49.0,0.5,0.04952213952904488,0.04952213952904488,BUY,0.0,0.04952213952904488,,,,,0.17453439840494303,0.22458735098894353,0.21931399474377533
POSITION,2025-12-22,2025-12-19,,,,,,,,,,,value_csi300,600048.XSHG,600048.SH,0.8993288590604027,31.0,0.5,0.04750610360826758,0.04750610360826758,BUY,0.0,0.04750610360826758,,,,,0.18406305637207857,0.17102869003576338,0.18836809214048922
POSITION,2025-12-22,2025-12-19,,,,,,,,,,,small_cap_csi101,002564.XSHE,002564.SZ,0.992685475444096,8.0,0.5,0.04586699850711609,0.04586699850711609,BUY,0.0,0.04586699850711609,,,,,0.36970792523099055,0.5276147594302903,0.5472116082611683
POSITION,2025-12-22,2025-12-19,,,,,,,,,,,value_csi300,600741.XSHG,600741.SH,0.7919463087248322,63.0,0.5,0.045462949123857274,0.045462949123857274,BUY,0.0,0.045462949123857274,,,,,0.19458210523445077,0.2690962373042144,0.2525645329810179
POSITION,2025-12-22,2025-12-19,,,,,,,,,,,value_csi300,601658.XSHG,601658.SH,0.9966442953020134,2.0,0.5,0.04254082784323253,0.04254082784323253,BUY,0.0,0.04254082784323253,,,,,0.21138240299074573,0.22911765530854478,0.21049333518728103
POSITION,2025-12-22,2025-12-19,,,,,,,,,,,value_csi300,001979.XSHE,001979.SZ,0.8087248322147651,58.0,0.5,0.03731705352068056,0.03731705352068056,BUY,0.0,0.03731705352068056,,,,,0.24797164453826778,0.2606389795073415,0.25923168820860676
POSITION,2025-12-22,2025-12-19,,,,,,,,,,,small_cap_csi101,003011.XSHE,003011.SZ,0.9905956112852664,10.0,0.5,0.03444100105420505,0.03444100105420505,BUY,0.0,0.03444100105420505,,,,,0.5089484100562816,0.42205659785874217,0.3608345136858132
POSITION,2025-12-22,2025-12-19,,,,,,,,,,,small_cap_csi101,002370.XSHE,002370.SZ,0.987460815047022,13.0,0.5,0.03301235043965914,0.03301235043965914,BUY,0.0,0.03301235043965914,,,,,0.5331375992200754,0.6707424479453614,0.686575039367367
POSITION,2025-12-22,2025-12-19,,,,,,,,,,,value_csi300,601699.XSHG,601699.SH,0.8154362416107382,56.0,0.5,0.030221095004269546,0.030221095004269546,BUY,0.0,0.030221095004269546,,,,,0.31793583440007134,0.4213100335581306,0.418397892936875
